[System] Initialized kmsg stream.
[IDT] Initializing IDT
[IDT] Setting IDT gate for interrupt 168. Base: 2147501708, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 169. Base: 2147501721, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 170. Base: 2147501734, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 171. Base: 2147501747, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 172. Base: 2147501760, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 173. Base: 2147501773, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 174. Base: 2147501786, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 175. Base: 2147501799, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 176. Base: 2147501812, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 177. Base: 2147501825, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 178. Base: 2147501838, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 179. Base: 2147501851, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 180. Base: 2147501864, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 181. Base: 2147501877, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 182. Base: 2147501890, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 183. Base: 2147501903, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 184. Base: 2147501916, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 185. Base: 2147501929, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 186. Base: 2147501942, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 187. Base: 2147501955, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 188. Base: 2147501968, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 189. Base: 2147501981, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 190. Base: 2147501994, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 191. Base: 2147502007, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 192. Base: 2147502020, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 193. Base: 2147502033, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 194. Base: 2147502046, Sel: 40, Flags: 142
